,occ1,occ2,count
1360,43-3051,43-5071,1
1361,43-3051,49-9071,1
1362,43-3051,53-7061,1
1363,43-3061,43-4121,1
1364,43-3061,43-5071,1
1365,43-3061,43-5081,1
1366,43-3061,49-1011,1
1367,43-3061,53-7062,1
1368,43-3071,43-4041,1
1369,43-3071,43-4051,14
1370,43-3071,43-4131,3
1371,43-3071,43-4141,5
1372,43-3071,43-5052,1
1373,43-3071,43-5081,1
1374,43-3071,43-9111,1
1375,43-3071,49-3023,1
1376,43-3071,51-9198,1
1377,43-3071,53-7062,1
1378,43-4011,43-4051,1
1379,43-4031,43-4051,1
1380,43-4031,43-9021,2
1381,43-4031,43-9022,1
1382,43-4041,43-4051,2
1383,43-4041,43-4131,4
1384,43-4041,51-9199,1
1385,43-4051,43-4081,4
1386,43-4051,43-4111,3
1387,43-4051,43-4121,1
1388,43-4051,43-4131,3
1389,43-4051,43-4141,3
1390,43-4051,43-4151,7
1391,43-4051,43-4171,50
1392,43-4051,43-4181,10
1393,43-4051,43-5011,1
1394,43-4051,43-5041,1
1395,43-4051,43-5051,1
1396,43-4051,43-5052,1
1397,43-4051,43-5061,6
1398,43-4051,43-5071,4
1399,43-4051,43-5081,28
1400,43-4051,43-9011,2
1401,43-4051,43-9021,8
1402,43-4051,43-9041,24
1403,43-4051,43-9051,1
1404,43-4051,45-2041,2
1405,43-4051,47-1011,2
1406,43-4051,47-2061,1
1407,43-4051,47-2111,2
1408,43-4051,47-2141,1
1409,43-4051,49-1011,3
1410,43-4051,49-2011,3
1411,43-4051,49-3011,1
1412,43-4051,49-3023,3
1413,43-4051,49-3031,3
1414,43-4051,49-9031,1
1415,43-4051,49-9071,3
1416,43-4051,49-9091,1
1417,43-4051,49-9098,2
1418,43-4051,51-1011,3
1419,43-4051,51-4041,1
1420,43-4051,51-6011,1
1421,43-4051,51-6031,1
1422,43-4051,51-8021,1
1423,43-4051,51-8031,1
1424,43-4051,51-9061,6
1425,43-4051,51-9071,1
1426,43-4051,51-9111,1
1427,43-4051,51-9199,6
1428,43-4051,53-3041,3
1429,43-4051,53-6021,1
1430,43-4051,53-7051,1
1431,43-4051,53-7061,1
1432,43-4051,53-7062,16
1433,43-4051,53-7064,5
1434,43-4081,43-4111,1
1435,43-4081,43-4171,5
1436,43-4081,43-5051,1
1437,43-4081,43-5071,1
1438,43-4081,43-5081,1
1439,43-4081,43-9051,1
1440,43-4081,49-9071,1
1441,43-4111,43-4171,17
1442,43-4111,43-5061,2
1443,43-4111,43-9041,1
1444,43-4111,51-9199,1
1445,43-4121,43-4171,1
1446,43-4131,43-4141,1
1447,43-4131,43-4171,2
1448,43-4131,43-5061,1
1449,43-4131,43-9021,1
1450,43-4131,43-9041,2
1451,43-4131,51-3011,1
1452,43-4131,51-9199,1
1453,43-4141,43-9081,1
1454,43-4151,43-4171,3
1455,43-4151,43-5071,2
1456,43-4151,43-5081,9
1457,43-4151,43-9011,1
1458,43-4151,47-2061,1
1459,43-4151,49-1011,1
1460,43-4151,49-2011,1
1461,43-4151,49-9096,1
1462,43-4151,51-1011,1
1463,43-4151,51-6011,1
1464,43-4151,51-9199,1
1465,43-4151,53-7062,2
1466,43-4171,43-4181,1
1467,43-4171,43-5021,1
1468,43-4171,43-5051,4
1469,43-4171,43-5061,8
1470,43-4171,43-5081,4
1471,43-4171,43-9011,1
1472,43-4171,43-9021,7
1473,43-4171,43-9022,6
1474,43-4171,43-9041,6
1475,43-4171,43-9051,1
1476,43-4171,47-2061,2
1477,43-4171,47-2111,1
1478,43-4171,47-4011,1
1479,43-4171,51-9061,3
1480,43-4171,51-9199,1
1481,43-4171,53-7062,1
1482,43-4171,53-7064,1
1483,43-4181,43-5011,3
1484,43-4181,43-5061,2
1485,43-4181,49-3031,1
1486,43-4181,51-4031,1
1487,43-4181,53-2031,1
1488,43-4181,53-7062,3
1489,43-4181,53-7064,1
1490,43-5011,43-5071,4
1491,43-5011,43-5081,1
1492,43-5011,43-9011,1
1493,43-5011,47-2111,1
1494,43-5011,53-7062,2
1495,43-5021,43-5052,2
1496,43-5021,43-5071,2
1497,43-5021,43-5081,1
1498,43-5021,43-9051,3
1499,43-5021,47-2061,1
1500,43-5021,47-2111,1
1501,43-5021,49-3023,1
1502,43-5021,49-3031,1
1503,43-5021,49-9071,1
1504,43-5021,51-4041,1
1505,43-5021,51-9199,2
1506,43-5021,53-3041,2
1507,43-5021,53-7051,1
1508,43-5021,53-7061,1
1509,43-5021,53-7062,4
1510,43-5021,53-7081,2
1511,43-5041,47-2111,1
1512,43-5041,49-9051,1
1513,43-5041,51-8031,2
1514,43-5041,53-3041,1
1515,43-5051,43-5052,12
1516,43-5051,43-9051,2
1517,43-5051,47-2111,1
1518,43-5051,53-7062,3
1519,43-5052,43-9011,1
1520,43-5052,43-9051,1
1521,43-5052,47-2111,1
1522,43-5052,47-2141,1
1523,43-5052,49-9071,1
1524,43-5052,51-4031,1
1525,43-5052,51-9061,1
1526,43-5052,51-9071,1
1527,43-5052,51-9199,1
1528,43-5052,53-3041,1
1529,43-5061,43-5071,2
1530,43-5061,43-5081,8
1531,43-5061,43-9021,2
1532,43-5061,47-1011,1
1533,43-5061,47-2061,1
1534,43-5061,49-1011,1
1535,43-5061,51-1011,1
1536,43-5061,51-9061,3
1537,43-5061,51-9199,2
1538,43-5071,43-5081,26
1539,43-5071,43-9011,1
1540,43-5071,43-9021,1
1541,43-5071,43-9051,2
1542,43-5071,47-2061,3
1543,43-5071,47-2111,1
1544,43-5071,47-2161,1
1545,43-5071,49-2011,2
1546,43-5071,49-3031,1
1547,43-5071,51-3011,1
1548,43-5071,51-4021,1
1549,43-5071,51-4034,1
1550,43-5071,51-9061,5
1551,43-5071,51-9111,2
1552,43-5071,51-9191,1
1553,43-5071,51-9199,8
1554,43-5071,53-7051,17
1555,43-5071,53-7061,1
1556,43-5071,53-7062,47
1557,43-5071,53-7063,2
1558,43-5071,53-7064,5
1559,43-5081,43-9011,2
1560,43-5081,43-9021,1
1561,43-5081,43-9041,1
1562,43-5081,43-9051,1
1563,43-5081,43-9111,1
1564,43-5081,47-2061,4
1565,43-5081,47-2111,2
1566,43-5081,47-2141,1
1567,43-5081,47-5021,1
1568,43-5081,49-2011,1
1569,43-5081,49-2092,1
1570,43-5081,49-2097,1
1571,43-5081,49-3011,1
1572,43-5081,49-3023,4
1573,43-5081,49-3031,2
1574,43-5081,49-9044,1
1575,43-5081,49-9071,1
1576,43-5081,51-3011,1
1577,43-5081,51-3092,2
1578,43-5081,51-4031,1
1579,43-5081,51-4041,4
1580,43-5081,51-6011,1
1581,43-5081,51-9061,10
1582,43-5081,51-9111,3
1583,43-5081,51-9195,1
1584,43-5081,51-9199,14
1585,43-5081,53-3041,3
1586,43-5081,53-6051,2
1587,43-5081,53-7051,10
1588,43-5081,53-7061,3
1589,43-5081,53-7062,76
1590,43-5081,53-7064,16
1591,43-9011,43-9021,4
1592,43-9011,49-2011,3
1593,43-9011,49-2097,1
1594,43-9011,49-9071,1
1595,43-9011,51-9199,1
1596,43-9021,43-9022,3
1597,43-9021,43-9041,1
1598,43-9021,49-2011,1
1599,43-9021,51-1011,1
1600,43-9021,51-4031,1
1601,43-9021,51-9061,1
1602,43-9021,53-7051,1
1603,43-9021,53-7064,1
1604,43-9022,51-9061,1
1605,43-9041,43-9111,1
1606,43-9051,47-2061,1
1607,43-9051,49-9071,1
1608,43-9051,51-1011,1
1609,43-9051,51-9061,1
1610,43-9051,53-7062,3
1611,43-9051,53-7064,1
1612,45-2011,45-2041,2
1613,45-2011,51-9061,1
1614,45-2011,51-9111,1
1615,45-2011,53-7064,1
1616,45-2041,51-1011,4
1617,45-2041,51-9061,4
1618,45-2041,51-9111,4
1619,45-2041,51-9199,2
1620,45-2041,53-6021,1
1621,45-2041,53-7062,4
1622,45-2041,53-7064,7
1623,45-3011,47-2061,1
1624,45-3011,51-9199,1
1625,45-4011,51-6011,1
1626,47-1011,47-2061,49
1627,47-1011,47-2111,15
1628,47-1011,47-2141,2
1629,47-1011,47-2221,3
1630,47-1011,47-4011,1
1631,47-1011,47-5021,3
1632,47-1011,49-1011,10
1633,47-1011,49-3023,1
1634,47-1011,49-9021,6
1635,47-1011,49-9043,1
1636,47-1011,49-9044,1
1637,47-1011,49-9051,1
1638,47-1011,49-9071,7
1639,47-1011,51-1011,17
1640,47-1011,51-6093,1
1641,47-1011,51-8031,1
1642,47-1011,51-9199,2
1643,47-1011,53-6051,2
1644,47-1011,53-7062,5
1645,47-2061,47-2111,10
1646,47-2061,47-2141,24
1647,47-2061,47-2161,2
1648,47-2061,47-2221,2
1649,47-2061,47-4011,1
1650,47-2061,47-5021,1
1651,47-2061,49-2098,2
1652,47-2061,49-3023,8
1653,47-2061,49-3031,3
1654,47-2061,49-9021,7
1655,47-2061,49-9044,1
1656,47-2061,49-9051,2
1657,47-2061,49-9052,5
1658,47-2061,49-9071,14
1659,47-2061,51-1011,2
1660,47-2061,51-3093,1
1661,47-2061,51-4111,1
1662,47-2061,51-7041,2
1663,47-2061,51-7042,1
1664,47-2061,51-8021,1
1665,47-2061,51-8031,1
1666,47-2061,51-9041,1
1667,47-2061,51-9061,5
1668,47-2061,51-9111,1
1669,47-2061,51-9192,1
1670,47-2061,51-9199,12
1671,47-2061,53-3041,1
1672,47-2061,53-7021,2
1673,47-2061,53-7051,6
1674,47-2061,53-7061,4
1675,47-2061,53-7062,35
1676,47-2061,53-7064,8
1677,47-2061,53-7081,2
1678,47-2111,47-2141,1
1679,47-2111,47-2161,1
1680,47-2111,47-2221,1
1681,47-2111,47-4011,1
1682,47-2111,49-1011,6
1683,47-2111,49-2092,2
1684,47-2111,49-2096,4
1685,47-2111,49-2097,1
1686,47-2111,49-2098,3
1687,47-2111,49-3011,1
1688,47-2111,49-3031,3
1689,47-2111,49-9021,5
1690,47-2111,49-9043,1
1691,47-2111,49-9051,7
1692,47-2111,49-9052,3
1693,47-2111,49-9071,4
1694,47-2111,51-1011,2
1695,47-2111,51-4031,1
1696,47-2111,51-8021,1
1697,47-2111,51-8031,1
1698,47-2111,51-9061,1
1699,47-2111,51-9111,1
1700,47-2111,51-9196,1
1701,47-2111,51-9199,2
1702,47-2111,53-7051,1
1703,47-2111,53-7061,1
1704,47-2111,53-7062,4
1705,47-2111,53-7081,1
1706,47-2121,47-2141,1
1707,47-2141,49-2011,1
1708,47-2141,49-3023,1
1709,47-2141,49-3031,1
1710,47-2141,49-9071,3
1711,47-2141,51-4041,1
1712,47-2141,51-9041,1
1713,47-2141,51-9061,1
1714,47-2141,51-9199,1
1715,47-2141,53-3041,2
1716,47-2141,53-5011,1
1717,47-2141,53-7051,1
1718,47-2141,53-7061,1
1719,47-2141,53-7062,6
1720,47-2141,53-7064,1
1721,47-2161,49-9091,1
1722,47-2221,49-9044,1
1723,47-2221,51-9199,1
1724,47-4011,49-2098,1
1725,47-4011,49-3031,1
1726,47-4011,51-9061,6
1727,47-4011,53-3041,1
1728,47-4011,53-7062,1
1729,47-5021,49-1011,1
1730,47-5021,49-9096,1
1731,47-5021,51-9111,1
1732,49-1011,49-3023,3
1733,49-1011,49-3031,1
1734,49-1011,49-9021,1
1735,49-1011,49-9052,1
1736,49-1011,49-9071,6
1737,49-1011,49-9095,1
1738,49-1011,51-1011,12
1739,49-1011,51-4034,1
1740,49-1011,51-8031,1
1741,49-1011,51-9061,1
1742,49-1011,53-3041,1
1743,49-2011,49-2092,1
1744,49-2011,49-3023,1
1745,49-2011,49-9052,4
1746,49-2011,49-9071,4
1747,49-2011,51-8021,1
1748,49-2011,51-9199,1
1749,49-2011,53-7062,3
1750,49-2092,49-2096,1
1751,49-2092,49-3031,1
1752,49-2092,49-9051,1
1753,49-2092,53-3041,1
1754,49-2096,49-3023,1
1755,49-2097,49-9052,3
1756,49-2097,49-9071,1
1757,49-2097,53-7062,1
1758,49-2097,53-7064,1
1759,49-2098,49-9052,1
1760,49-2098,51-9061,2
1761,49-3011,49-3031,1
1762,49-3011,49-9071,4
1763,49-3011,51-1011,2
1764,49-3011,51-9061,1
1765,49-3011,53-7062,1
1766,49-3021,49-3023,27
1767,49-3021,49-9021,1
1768,49-3021,49-9098,1
1769,49-3021,51-3091,1
1770,49-3021,51-9061,1
1771,49-3021,53-7061,1
1772,49-3021,53-7062,3
1773,49-3023,49-3031,28
1774,49-3023,49-9021,2
1775,49-3023,49-9044,2
1776,49-3023,49-9071,12
1777,49-3023,51-1011,1
1778,49-3023,51-4033,1
1779,49-3023,51-4041,4
1780,49-3023,51-6011,1
1781,49-3023,51-6031,1
1782,49-3023,51-9061,14
1783,49-3023,51-9199,1
1784,49-3023,53-3041,2
1785,49-3023,53-6021,1
1786,49-3023,53-6051,2
1787,49-3023,53-7051,1
1788,49-3023,53-7061,1
1789,49-3023,53-7062,3
1790,49-3031,49-9071,9
1791,49-3031,51-1011,2
1792,49-3031,51-9061,1
1793,49-3031,51-9199,3
1794,49-3031,53-5011,1
1795,49-3031,53-6021,1
1796,49-3031,53-6051,1
1797,49-3031,53-7021,1
1798,49-3031,53-7051,2
1799,49-3031,53-7061,1
1800,49-3031,53-7062,4
1801,49-3031,53-7081,1
1802,49-9021,49-9031,4
1803,49-9021,49-9043,1
1804,49-9021,49-9044,1
1805,49-9021,49-9051,1
1806,49-9021,49-9071,10
1807,49-9021,49-9091,1
1808,49-9021,49-9098,1
1809,49-9021,51-1011,1
1810,49-9021,51-8021,7
1811,49-9021,51-9196,1
1812,49-9021,51-9199,1
1813,49-9021,53-7021,1
1814,49-9021,53-7061,1
1815,49-9021,53-7062,1
1816,49-9031,49-9071,6
1817,49-9031,51-4033,1
1818,49-9031,51-9061,1
1819,49-9031,53-7062,1
1820,49-9043,49-9071,1
1821,49-9043,51-1011,1
1822,49-9043,51-9199,1
1823,49-9044,49-9071,1
1824,49-9044,51-4041,1
1825,49-9044,51-9199,5
1826,49-9051,49-9052,4
1827,49-9051,51-1011,3
1828,49-9051,53-7021,1
1829,49-9051,53-7051,1
1830,49-9052,49-9071,1
1831,49-9052,51-1011,1
1832,49-9052,51-9199,1
1833,49-9052,53-7062,3
1834,49-9071,49-9091,1
1835,49-9071,49-9095,1
1836,49-9071,49-9098,1
1837,49-9071,51-1011,1
1838,49-9071,51-4041,1
1839,49-9071,51-4193,1
1840,49-9071,51-6011,1
1841,49-9071,51-8021,2
1842,49-9071,51-8031,5
1843,49-9071,51-9061,1
1844,49-9071,51-9195,1
1845,49-9071,51-9199,4
1846,49-9071,53-3011,1
1847,49-9071,53-3041,1
1848,49-9071,53-7021,1
1849,49-9071,53-7051,1
1850,49-9071,53-7061,4
1851,49-9071,53-7062,8
1852,51-1011,51-3092,2
1853,51-1011,51-3093,1
1854,51-1011,51-4023,1
1855,51-1011,51-4031,1
1856,51-1011,51-4041,3
1857,51-1011,51-4193,1
1858,51-1011,51-6011,2
1859,51-1011,51-6031,1
1860,51-1011,51-6041,1
1861,51-1011,51-7011,3
1862,51-1011,51-8021,1
1863,51-1011,51-8031,6
1864,51-1011,51-9061,11
1865,51-1011,51-9111,3
1866,51-1011,51-9196,3
1867,51-1011,51-9199,16
1868,51-1011,53-7051,3
1869,51-1011,53-7062,10
1870,51-1011,53-7064,4
1871,51-3011,51-3091,2
1872,51-3011,51-3092,6
1873,51-3011,51-7011,1
1874,51-3011,51-9198,1
1875,51-3011,51-9199,2
1876,51-3011,53-7062,1
1877,51-3011,53-7063,2
1878,51-3091,51-9111,1
1879,51-3091,51-9199,1
1880,51-3091,53-7062,1
1881,51-3092,51-3093,2
1882,51-3092,51-9111,1
1883,51-3092,51-9199,3
1884,51-3092,53-7064,1
1885,51-3093,51-9111,1
1886,51-3093,53-7062,1
1887,51-3093,53-7063,1
1888,51-4021,51-9041,1
1889,51-4021,51-9199,1
1890,51-4023,51-4031,1
1891,51-4023,51-6021,1
1892,51-4023,51-9199,3
1893,51-4023,53-7051,1
1894,51-4023,53-7062,1
1895,51-4031,51-4033,1
1896,51-4031,51-4041,2
1897,51-4031,51-6021,1
1898,51-4031,51-7041,1
1899,51-4031,51-9041,1
1900,51-4031,51-9061,1
1901,51-4031,51-9198,1
1902,51-4031,51-9199,5
1903,51-4031,53-6061,1
1904,51-4031,53-7062,6
1905,51-4031,53-7064,1
1906,51-4033,51-4041,1
1907,51-4033,51-4193,1
1908,51-4033,51-9199,2
1909,51-4033,53-7061,1
1910,51-4033,53-7064,1
1911,51-4034,51-4041,2
1912,51-4034,51-4111,1
1913,51-4041,51-4111,6
1914,51-4041,51-4194,1
1915,51-4041,51-6031,1
1916,51-4041,51-6063,1
1917,51-4041,51-9061,2
1918,51-4041,51-9198,1
1919,51-4041,51-9199,7
1920,51-4041,53-7051,3
1921,51-4041,53-7062,1
1922,51-4041,53-7064,1
1923,51-4193,53-7062,1
1924,51-5111,51-9061,1
1925,51-5111,51-9199,1
1926,51-6011,51-6021,8
1927,51-6011,51-9199,2
1928,51-6011,53-3041,1
1929,51-6011,53-7051,2
1930,51-6011,53-7062,4
1931,51-6011,53-7081,1
1932,51-6021,51-9199,3
1933,51-6031,51-6063,2
1934,51-6031,51-6093,1
1935,51-6031,51-9061,1
1936,51-6031,51-9191,1
1937,51-6031,51-9199,5
1938,51-6031,53-7051,2
1939,51-6031,53-7062,3
1940,51-6031,53-7064,1
1941,51-6041,51-9199,1
1942,51-6041,53-7062,1
1943,51-6063,51-9061,1
1944,51-6063,51-9199,1
1945,51-6064,51-9199,1
1946,51-6093,51-7021,2
1947,51-6093,51-9199,1
1948,51-7011,51-7021,1
1949,51-7011,51-7042,1
1950,51-7011,51-9199,1
1951,51-7011,53-7062,5
1952,51-7011,53-7081,1
1953,51-7041,51-9199,2
1954,51-7041,53-7062,3
1955,51-7042,51-9199,1
1956,51-7042,53-7051,1
1957,51-7042,53-7062,4
1958,51-8021,51-9111,1
1959,51-8021,51-9199,1
1960,51-8021,53-7051,1
1961,51-8021,53-7062,2
1962,51-8031,51-9061,1
1963,51-8031,51-9199,1
1964,51-8031,53-7062,2
1965,51-9041,51-9199,4
1966,51-9061,51-9151,1
1967,51-9061,51-9194,1
1968,51-9061,51-9199,13
1969,51-9061,53-6051,3
1970,51-9061,53-7051,1
1971,51-9061,53-7062,7
1972,51-9061,53-7064,5
1973,51-9061,53-7081,1
1974,51-9071,51-9199,1
1975,51-9111,51-9199,13
1976,51-9111,53-3041,3
1977,51-9111,53-7051,1
1978,51-9111,53-7061,1
1979,51-9111,53-7062,11
1980,51-9111,53-7064,13
1981,51-9151,53-7062,1
1982,51-9191,51-9199,2
1983,51-9192,53-7061,1
1984,51-9195,53-7064,1
1985,51-9196,51-9199,10
1986,51-9196,53-7051,1
1987,51-9196,53-7064,4
1988,51-9197,51-9199,4
1989,51-9198,53-7051,1
1990,51-9198,53-7061,1
1991,51-9198,53-7062,2
1992,51-9199,53-3041,1
1993,51-9199,53-6051,1
1994,51-9199,53-7021,1
1995,51-9199,53-7051,12
1996,51-9199,53-7061,4
1997,51-9199,53-7062,44
1998,51-9199,53-7063,2
1999,51-9199,53-7064,22
2000,51-9199,53-7081,1
2001,53-2031,53-6061,1
2002,53-3011,53-3041,3
2003,53-3041,53-6021,2
2004,53-3041,53-7062,1
2005,53-6021,53-7061,1
2006,53-6061,53-7062,1
2007,53-7021,53-7051,1
2008,53-7021,53-7062,4
2009,53-7051,53-7062,42
2010,53-7051,53-7081,1
2011,53-7061,53-7062,8
2012,53-7061,53-7081,1
2013,53-7062,53-7063,1
2014,53-7062,53-7064,29
2015,53-7062,53-7081,5
2016,53-7064,53-7081,1
